ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
30497,10000.00,10000.00,0.07,36 months,debt_consolidation,0.08,AZ,RENT,3166.67,735-739,4.00,0.00,0.00,1 year
57456,16000.00,15975.00,0.15,36 months,debt_consolidation,0.20,NC,RENT,3666.67,675-679,15.00,6875.00,0.00,4 years
27671,13000.00,13000.00,0.11,60 months,home_improvement,0.22,GA,MORTGAGE,6517,740-744,14.00,4663.00,0.00,3 years
77149,16000.00,16000.00,0.19,60 months,debt_consolidation,0.18,NY,RENT,6666.67,690-694,16.00,11232.00,2.00,5 years
63971,27575.00,27575.00,0.17,36 months,credit_card,0.33,PA,MORTGAGE,5750,700-704,21.00,24705.00,2.00,n/a
33181,8000.00,8000.00,0.13,36 months,debt_consolidation,0.17,SC,MORTGAGE,7083,695-699,11.00,9345.00,3.00,.
92244,27575.00,27575.00,0.19,36 months,debt_consolidation,0.19,WI,RENT,5166.67,660-664,6.00,14935.00,1.00,10+ years
96798,15000.00,15000.00,0.07,36 months,debt_consolidation,0.03,NJ,MORTGAGE,6250,755-759,8.00,13131.00,0.00,n/a
27764,4800.00,4800.00,0.05,36 months,major_purchase,0.10,FL,MORTGAGE,6333.33,790-794,13.00,10704.00,0.00,10+ years
51684,10000.00,10000.00,0.12,36 months,debt_consolidation,0.13,CA,MORTGAGE,5833.33,690-694,8.00,13885.00,0.00,6 years
2882,15000.00,8081.65,0.13,36 months,debt_consolidation,0.13,GA,MORTGAGE,2583.33,755-759,3.00,4923.00,2.00,9 years
42555,8700.00,8700.00,0.13,36 months,home_improvement,0.05,NY,RENT,14166.67,675-679,11.00,19036.00,0.00,< 1 year
41287,7000.00,7000.00,0.08,36 months,credit_card,0.08,NY,RENT,2916.67,710-714,7.00,4276.00,0.00,3 years
47488,11875.00,11875.00,0.06,36 months,debt_consolidation,0.21,FL,MORTGAGE,2740.5,780-784,16.00,23490.00,1.00,10+ years
40094,24400.00,24400.00,0.17,60 months,small_business,0.16,CA,RENT,6000,725-729,7.00,13879.00,1.00,3 years
46021,1000.00,1000.00,0.11,36 months,debt_consolidation,0.09,UT,RENT,1100,715-719,5.00,1314.00,0.00,2 years
79106,21000.00,20950.00,0.24,60 months,debt_consolidation,0.25,KS,RENT,7458.33,660-664,14.00,11973.00,0.00,10+ years
NA,16000.00,16000.00,0.10,60 months,other,0.17,SC,OWN,5000,780-784,6.00,2300.00,0.00,10+ years
20309,8000.00,8000.00,0.13,60 months,credit_card,0.19,VT,MORTGAGE,11583.33,700-704,13.00,86700.00,0.00,10+ years
39481,3000.00,3000.00,0.06,36 months,other,0.06,VA,RENT,4166.67,750-754,7.00,9616.00,0.00,5 years
9115,16750.00,16445.93,0.10,36 months,credit_card,0.10,IL,MORTGAGE,3338,750-754,10.00,18696.00,1.00,5 years
84592,13200.00,13200.00,0.20,36 months,credit_card,0.09,CA,MORTGAGE,5083.33,665-669,5.00,10771.00,0.00,10+ years
80956,1000.00,1000.00,0.15,36 months,moving,0.25,NV,OWN,3176,675-679,6.00,10982.00,2.00,5 years
102295,5000.00,4500.00,0.11,36 months,major_purchase,0.00,PA,RENT,3166.67,680-684,5.00,4254.00,5.00,< 1 year
91426,29175.00,29175.00,0.13,36 months,debt_consolidation,0.21,CA,RENT,5416.67,695-699,10.00,22811.00,0.00,10+ years
4873,4550.00,4550.00,0.14,36 months,medical,0.17,CA,RENT,10833.33,680-684,10.00,66461.00,0.00,< 1 year
83586,6075.00,6075.00,0.17,36 months,debt_consolidation,0.20,NY,OWN,2666.67,660-664,15.00,7515.00,2.00,< 1 year
42743,8000.00,8000.00,0.17,36 months,credit_card,0.21,TX,RENT,3750,660-664,6.00,4010.00,0.00,5 years
325,7000.00,5525.00,0.08,36 months,debt_consolidation,0.10,NV,RENT,4158,765-769,13.00,6634.00,0.00,8 years
99898,3700.00,3700.00,0.16,36 months,credit_card,0.32,NY,RENT,3000,690-694,9.00,14151.00,0.00,1 year
7254,1000.00,1000.00,0.08,36 months,moving,0.17,NY,RENT,6000,715-719,11.00,23572.00,1.00,3 years
74613,6000.00,6000.00,0.13,36 months,debt_consolidation,0.20,PA,MORTGAGE,5833.33,685-689,6.00,5523.00,1.00,1 year
25767,1700.00,1700.00,0.07,36 months,car,0.05,VA,RENT,2250,750-754,4.00,4527.00,0.00,5 years
23214,5000.00,5000.00,0.10,60 months,car,0.09,FL,RENT,4000,735-739,6.00,3448.00,0.00,< 1 year
98634,20000.00,20000.00,0.06,36 months,credit_card,0.19,FL,MORTGAGE,14583.33,715-719,9.00,29044.00,0.00,7 years
83570,8000.00,8000.00,0.09,36 months,debt_consolidation,0.27,AZ,MORTGAGE,4416.67,720-724,15.00,6701.00,0.00,1 year
29775,3200.00,3200.00,0.17,60 months,debt_consolidation,0.08,CA,RENT,2609,670-674,9.00,5382.00,0.00,3 years
21900,2800.00,2800.00,0.10,36 months,debt_consolidation,0.20,CA,RENT,3250,700-704,4.00,8717.00,0.00,5 years
62763,9600.00,9600.00,0.07,36 months,debt_consolidation,0.04,SC,RENT,4333.33,760-764,7.00,1039.00,1.00,3 years
48676,7000.00,7000.00,0.13,36 months,debt_consolidation,0.17,NJ,RENT,3650,685-689,12.00,6444.00,1.00,5 years
5511,12000.00,11925.00,0.12,36 months,moving,0.16,VA,RENT,10250,720-724,15.00,46336.00,2.00,5 years
32601,17000.00,17000.00,0.08,36 months,small_business,0.06,NJ,RENT,6250,795-799,4.00,1352.00,3.00,6 years
52823,6000.00,6000.00,0.12,36 months,home_improvement,0.24,TX,MORTGAGE,8000,680-684,8.00,16139.00,0.00,2 years
46870,14600.00,14600.00,0.10,36 months,credit_card,0.30,FL,OWN,2500,730-734,14.00,23616.00,1.00,2 years
38826,29000.00,27884.92,0.11,60 months,debt_consolidation,0.04,NH,MORTGAGE,15000,745-749,12.00,55964.00,0.00,10+ years
587,11000.00,2116.76,0.14,36 months,debt_consolidation,0.21,NY,OWN,4167,670-674,14.00,17436.00,0.00,2 years
76450,16000.00,16000.00,0.15,36 months,debt_consolidation,0.19,CA,MORTGAGE,7666.67,695-699,16.00,43692.00,1.00,10+ years
17877,12000.00,12000.00,0.10,60 months,small_business,0.14,GA,MORTGAGE,6666.67,730-734,10.00,6969.00,1.00,4 years
5880,10000.00,10000.00,0.08,36 months,debt_consolidation,0.00,OR,MORTGAGE,7083.33,775-779,9.00,2994.00,NA,10+ years
224,24625.00,917.28,0.14,36 months,credit_card,0.13,NY,MORTGAGE,10000,675-679,14.00,33698.00,0.00,8 years
5858,16500.00,16350.00,0.12,36 months,debt_consolidation,0.17,TX,RENT,4810.08,725-729,7.00,24351.00,1.00,3 years
87620,13800.00,13800.00,0.12,36 months,debt_consolidation,0.17,CA,RENT,4250,695-699,8.00,11366.00,0.00,< 1 year
99541,35000.00,35000.00,0.15,36 months,debt_consolidation,0.15,NJ,RENT,6666.67,680-684,22.00,33472.00,0.00,10+ years
10356,4000.00,4000.00,0.17,60 months,vacation,0.14,GA,MORTGAGE,4500,670-674,5.00,20804.00,0.00,3 years
74944,20950.00,20875.00,0.21,60 months,debt_consolidation,0.28,NY,MORTGAGE,4500,675-679,15.00,24210.00,1.00,6 years
63,18500.00,3100.00,0.15,36 months,credit_card,0.05,NY,RENT,7500,660-664,8.00,22379.00,0.00,1 year
43623,5000.00,5000.00,0.14,36 months,debt_consolidation,0.18,CA,RENT,5208.33,695-699,9.00,18055.00,1.00,9 years
8773,25000.00,23995.24,0.11,36 months,debt_consolidation,0.12,VA,RENT,11166.67,750-754,6.00,28556.00,0.00,7 years
76320,22400.00,22400.00,0.13,36 months,debt_consolidation,0.16,PA,RENT,7375,690-694,8.00,9673.00,0.00,10+ years
70800,10000.00,10000.00,0.14,36 months,debt_consolidation,0.25,NV,RENT,4666.67,670-674,9.00,19479.00,0.00,10+ years
25665,4900.00,4900.00,0.06,36 months,home_improvement,0.07,VA,MORTGAGE,2666.67,770-774,5.00,3455.00,1.00,4 years
74054,18000.00,18000.00,0.12,60 months,debt_consolidation,0.19,VA,MORTGAGE,7583.33,730-734,14.00,26622.00,0.00,3 years
40139,35000.00,35000.00,0.12,60 months,debt_consolidation,0.13,OK,MORTGAGE,12083.33,730-734,15.00,18385.00,0.00,< 1 year
68829,12000.00,12000.00,0.12,36 months,debt_consolidation,0.19,TX,MORTGAGE,8750,710-714,10.00,32028.00,1.00,4 years
14152,12000.00,11975.00,0.14,60 months,credit_card,0.18,CA,MORTGAGE,4666.67,700-704,14.00,13616.00,0.00,8 years
36134,14000.00,14000.00,0.07,36 months,debt_consolidation,0.20,TX,RENT,4583.33,750-754,15.00,15890.00,1.00,10+ years
21504,4000.00,4000.00,0.14,60 months,major_purchase,0.13,FL,OWN,3500,695-699,5.00,8518.00,1.00,3 years
95827,5600.00,5600.00,0.11,36 months,credit_card,0.28,NC,MORTGAGE,11666.67,665-669,18.00,194205.00,0.00,10+ years
91018,12300.00,12300.00,0.15,36 months,debt_consolidation,0.19,OH,MORTGAGE,5000,710-714,13.00,4460.00,2.00,10+ years
29754,35000.00,33645.15,0.17,60 months,debt_consolidation,0.06,NY,MORTGAGE,16133.33,725-729,11.00,32222.00,0.00,2 years
94912,20000.00,20000.00,0.11,60 months,debt_consolidation,0.23,WA,MORTGAGE,9166.67,735-739,24.00,53494.00,2.00,10+ years
10205,8800.00,8800.00,0.13,60 months,major_purchase,0.03,AZ,MORTGAGE,2500,740-744,3.00,607.00,0.00,2 years
93352,16000.00,16000.00,0.09,36 months,debt_consolidation,0.20,CO,RENT,7083.33,720-724,11.00,6185.00,1.00,4 years
6711,8000.00,8000.00,0.21,36 months,small_business,0.08,CT,RENT,2500,675-679,5.00,7327.00,2.00,< 1 year
41102,4000.00,4000.00,0.06,36 months,other,0.15,FL,MORTGAGE,6583.33,770-774,6.00,63294.00,0.00,10+ years
71634,3500.00,3500.00,0.12,36 months,other,0.18,CA,MORTGAGE,5416.67,695-699,15.00,4067.00,3.00,< 1 year
66430,7800.00,7800.00,0.13,36 months,credit_card,0.16,FL,MORTGAGE,5000,680-684,8.00,12889.00,0.00,5 years
47163,4200.00,4200.00,0.14,36 months,other,0.13,TX,OWN,5000,710-714,8.00,9234.00,1.00,4 years
11835,25000.00,15800.00,0.14,60 months,debt_consolidation,0.20,PA,MORTGAGE,5416.67,720-724,13.00,21168.00,2.00,10+ years
91807,24925.00,24925.00,0.11,60 months,debt_consolidation,0.25,IN,MORTGAGE,6250,735-739,20.00,19245.00,0.00,4 years
37065,9600.00,9575.00,0.17,60 months,credit_card,0.13,NY,RENT,3333.33,695-699,7.00,13648.00,1.00,10+ years
31014,15000.00,15000.00,0.16,36 months,credit_card,0.15,MA,RENT,6294.25,680-684,11.00,20270.00,1.00,3 years
79164,20950.00,20950.00,0.23,60 months,debt_consolidation,0.13,MA,RENT,10416.67,665-669,14.00,12460.00,3.00,n/a
21164,8800.00,8800.00,0.18,60 months,debt_consolidation,0.14,KY,RENT,2916.67,685-689,5.00,7794.00,2.00,2 years
34262,12500.00,12500.00,0.16,60 months,debt_consolidation,0.14,PA,RENT,5300,695-699,7.00,11439.00,3.00,5 years
61152,21000.00,21000.00,0.08,36 months,debt_consolidation,0.07,IL,MORTGAGE,5333.33,775-779,7.00,19178.00,0.00,7 years
33968,35000.00,35000.00,0.11,36 months,debt_consolidation,0.09,MD,MORTGAGE,18750,735-739,13.00,18528.00,3.00,6 years
33736,15000.00,15000.00,0.15,36 months,small_business,0.08,NJ,RENT,15416.67,680-684,17.00,8962.00,1.00,6 years
10785,9250.00,6475.00,0.11,60 months,small_business,0.03,CA,MORTGAGE,8500,755-759,6.00,105060.00,0.00,4 years
17655,2250.00,2250.00,0.10,36 months,car,0.18,GA,OWN,5833.33,680-684,12.00,14637.00,0.00,2 years
35834,15000.00,14975.00,0.15,60 months,debt_consolidation,0.18,PA,MORTGAGE,2748,720-724,14.00,7956.00,1.00,6 years
33093,8000.00,8000.00,0.07,36 months,credit_card,0.05,FL,MORTGAGE,3000,780-784,5.00,6084.00,1.00,n/a
25703,3500.00,3500.00,0.16,36 months,home_improvement,0.14,GA,MORTGAGE,6833.33,660-664,7.00,11526.00,3.00,8 years
36084,5300.00,5300.00,0.08,36 months,debt_consolidation,0.10,TX,RENT,1945,760-764,3.00,5360.00,0.00,8 years
95579,12725.00,12725.00,0.11,36 months,debt_consolidation,0.22,TX,RENT,4416.67,720-724,23.00,4079.00,0.00,3 years
102314,2500.00,2450.00,0.13,36 months,educational,0.04,MD,MORTGAGE,1930.75,675-679,4.00,1548.00,3.00,2 years
2885,8000.00,7850.00,0.10,36 months,house,0.00,KS,RENT,4250,790-794,4.00,132.00,3.00,5 years
86479,14775.00,14775.00,0.21,60 months,debt_consolidation,0.28,CT,MORTGAGE,4473.33,675-679,10.00,33869.00,3.00,10+ years
100985,2200.00,2200.00,0.08,36 months,major_purchase,0.08,WA,MORTGAGE,5500,770-774,8.00,2927.00,0.00,3 years
16406,20000.00,19875.00,0.13,36 months,debt_consolidation,0.16,TX,MORTGAGE,9160,710-714,9.00,32392.00,1.00,10+ years
35530,3000.00,2950.00,0.13,36 months,debt_consolidation,0.04,SC,OWN,1200,705-709,4.00,1643.00,0.00,< 1 year
52814,12000.00,12000.00,0.20,36 months,debt_consolidation,0.15,KY,RENT,4458.33,660-664,8.00,13935.00,1.00,4 years
43017,33600.00,33600.00,0.17,60 months,debt_consolidation,0.15,NY,RENT,5416.67,730-734,5.00,20514.00,1.00,8 years
66064,31825.00,31825.00,0.14,60 months,major_purchase,0.04,CA,MORTGAGE,6666.67,750-754,4.00,10864.00,0.00,4 years
79495,4000.00,4000.00,0.14,36 months,debt_consolidation,0.26,OH,MORTGAGE,3333.33,675-679,12.00,19443.00,1.00,9 years
9495,20000.00,19900.00,0.10,36 months,wedding,0.11,NY,RENT,7083.33,750-754,14.00,18196.00,0.00,3 years
3492,12500.00,12425.00,0.09,36 months,home_improvement,0.12,TX,MORTGAGE,4166.67,780-784,7.00,1052.00,0.00,2 years
74163,9750.00,9750.00,0.17,36 months,debt_consolidation,0.22,FL,RENT,2817.5,670-674,12.00,6324.00,1.00,1 year
92036,30000.00,30000.00,0.15,60 months,credit_card,0.17,MN,MORTGAGE,8500,695-699,10.00,33770.00,0.00,6 years
33029,19600.00,19600.00,0.12,60 months,debt_consolidation,0.23,AZ,RENT,4166.67,745-749,9.00,14783.00,2.00,< 1 year
96208,24175.00,24175.00,0.13,36 months,home_improvement,0.08,GA,RENT,6250,710-714,8.00,4681.00,1.00,10+ years
10474,10800.00,10700.00,0.11,36 months,major_purchase,0.15,FL,MORTGAGE,8400,715-719,6.00,24675.00,0.00,10+ years
90871,10000.00,10000.00,0.12,36 months,debt_consolidation,0.14,IL,MORTGAGE,6083.33,670-674,13.00,19263.00,1.00,8 years
55934,12000.00,11975.00,0.14,36 months,debt_consolidation,0.17,CA,RENT,2000,675-679,6.00,7552.00,0.00,10+ years
94468,20000.00,20000.00,0.21,36 months,debt_consolidation,0.19,FL,RENT,6000,665-669,7.00,21202.00,2.00,10+ years
3116,9000.00,5242.75,0.14,36 months,debt_consolidation,0.07,NY,RENT,3875,670-674,7.00,7589.00,0.00,10+ years
103248,5000.00,5000.00,0.14,36 months,debt_consolidation,0.11,NY,RENT,2500,700-704,7.00,2050.00,4.00,< 1 year
33182,12000.00,12000.00,0.12,36 months,credit_card,0.19,NJ,RENT,3195,695-699,11.00,14469.00,0.00,9 years
90659,16750.00,16750.00,0.08,36 months,credit_card,0.18,CA,OWN,9125,710-714,19.00,33986.00,1.00,2 years
50924,29000.00,29000.00,0.08,36 months,debt_consolidation,0.19,NY,MORTGAGE,9166.67,765-769,18.00,75212.00,1.00,< 1 year
100072,24375.00,24375.00,0.14,36 months,credit_card,0.26,MT,MORTGAGE,4583.33,710-714,11.00,27379.00,3.00,4 years
2633,10000.00,9700.00,0.10,36 months,debt_consolidation,0.14,OK,MORTGAGE,4190,735-739,6.00,1251.00,1.00,< 1 year
48402,35000.00,35000.00,0.15,36 months,medical,0.12,MA,MORTGAGE,14166.67,720-724,7.00,103354.00,0.00,8 years
46604,1200.00,1200.00,0.08,36 months,debt_consolidation,0.07,CT,RENT,1300,710-714,8.00,1775.00,0.00,n/a
6908,7500.00,7400.00,0.08,36 months,debt_consolidation,0.08,NJ,OWN,10000,775-779,14.00,5195.00,1.00,3 years
97696,10000.00,10000.00,0.06,36 months,debt_consolidation,0.16,KY,MORTGAGE,8333.33,780-784,11.00,14832.00,0.00,10+ years
60064,20000.00,20000.00,0.20,36 months,debt_consolidation,0.14,VA,MORTGAGE,7965,665-669,18.00,18809.00,1.00,7 years
48006,27000.00,27000.00,0.18,36 months,home_improvement,0.22,SC,MORTGAGE,8583.33,690-694,9.00,6658.00,1.00,8 years
55542,28200.00,28200.00,0.21,60 months,debt_consolidation,0.16,NY,MORTGAGE,4833.33,695-699,18.00,27158.00,0.00,9 years
31000,3000.00,3000.00,0.10,36 months,credit_card,0.21,MO,OWN,2333.33,710-714,10.00,3168.00,1.00,1 year
88646,13000.00,13000.00,0.14,36 months,debt_consolidation,0.18,PA,MORTGAGE,7916.67,695-699,14.00,10723.00,3.00,8 years
4691,17000.00,16650.00,0.12,36 months,debt_consolidation,0.16,GA,MORTGAGE,5292,715-719,9.00,21441.00,1.00,10+ years
53454,6700.00,6700.00,0.08,36 months,credit_card,0.22,KS,RENT,2708.33,705-709,10.00,6627.00,0.00,2 years
91765,25450.00,25450.00,0.20,60 months,credit_card,0.34,FL,OWN,4750,665-669,20.00,14435.00,1.00,10+ years
103275,4000.00,3975.00,0.15,36 months,house,0.05,PA,RENT,1700,670-674,4.00,2381.00,5.00,< 1 year
68284,9000.00,9000.00,0.10,60 months,other,0.15,AZ,RENT,3500,755-759,5.00,3135.00,0.00,2 years
25680,12800.00,12800.00,0.11,60 months,home_improvement,0.20,NC,MORTGAGE,3333.33,720-724,13.00,24723.00,0.00,5 years
43465,16000.00,15975.00,0.18,60 months,debt_consolidation,0.12,MO,MORTGAGE,2666.67,705-709,12.00,18008.00,1.00,< 1 year
75022,14675.00,14675.00,0.09,36 months,debt_consolidation,0.15,NY,MORTGAGE,4000,715-719,6.00,12764.00,0.00,7 years
29942,7000.00,7000.00,0.07,36 months,major_purchase,0.07,PA,OWN,6280,750-754,14.00,353.00,0.00,4 years
21190,12000.00,11875.00,0.08,36 months,debt_consolidation,0.13,NY,MORTGAGE,5416.67,740-744,8.00,9993.00,2.00,3 years
29901,12000.00,11530.58,0.15,60 months,credit_card,0.20,WA,MORTGAGE,4166.67,700-704,10.00,18559.00,1.00,7 years
47168,7550.00,7550.00,0.08,36 months,wedding,0.15,AZ,MORTGAGE,2512,730-734,7.00,2814.00,0.00,5 years
82626,1000.00,1000.00,0.08,36 months,debt_consolidation,0.06,MD,MORTGAGE,9333.33,785-789,6.00,350.00,4.00,2 years
80538,12300.00,12300.00,0.12,36 months,debt_consolidation,0.10,CA,RENT,6583.33,690-694,15.00,12450.00,0.00,1 year
94971,2000.00,2000.00,0.20,36 months,moving,0.10,FL,RENT,3575,670-674,10.00,12036.00,0.00,6 years
43527,10000.00,10000.00,0.13,36 months,small_business,0.19,AL,MORTGAGE,3333.33,690-694,9.00,14247.00,1.00,7 years
97210,20000.00,20000.00,0.16,60 months,credit_card,0.26,CA,RENT,4166.67,690-694,23.00,34720.00,0.00,5 years
62663,10500.00,10500.00,0.18,36 months,credit_card,0.12,PA,MORTGAGE,4583.33,665-669,9.00,18936.00,1.00,5 years
57260,14825.00,14825.00,0.14,36 months,small_business,0.10,CA,RENT,2500,695-699,8.00,8073.00,1.00,2 years
66072,9000.00,9000.00,0.07,36 months,debt_consolidation,0.14,MA,RENT,4166.67,765-769,5.00,7853.00,0.00,1 year
22289,35000.00,34950.00,0.13,60 months,home_improvement,0.24,WV,MORTGAGE,7083.33,785-789,19.00,30725.00,1.00,10+ years
103951,6000.00,6000.00,0.14,60 months,medical,0.24,CA,RENT,2400,695-699,11.00,6069.00,4.00,9 years
71638,18000.00,18000.00,0.15,36 months,debt_consolidation,0.16,NM,MORTGAGE,6666.67,690-694,10.00,21174.00,0.00,10+ years
47002,12000.00,12000.00,0.09,36 months,credit_card,0.12,MD,RENT,5000,725-729,5.00,13940.00,0.00,10+ years
90748,16000.00,16000.00,0.08,36 months,credit_card,0.12,CA,MORTGAGE,8416.67,695-699,14.00,21913.00,1.00,5 years
92046,32000.00,32000.00,0.17,60 months,debt_consolidation,0.16,IL,RENT,9250,700-704,15.00,32566.00,1.00,2 years
55755,8000.00,8000.00,0.16,36 months,wedding,0.03,CT,MORTGAGE,4250,670-674,5.00,4454.00,2.00,10+ years
43682,28000.00,28000.00,0.12,36 months,debt_consolidation,0.03,NY,MORTGAGE,27083.33,730-734,5.00,12888.00,1.00,5 years
93766,28000.00,28000.00,0.08,36 months,credit_card,0.12,CA,RENT,11250,730-734,10.00,40302.00,1.00,10+ years
94582,16000.00,16000.00,0.16,60 months,car,0.12,WV,RENT,5250,685-689,14.00,154.00,1.00,3 years
87162,20125.00,20125.00,0.18,36 months,credit_card,0.11,NY,MORTGAGE,8937.5,675-679,14.00,12418.00,0.00,2 years
81130,8000.00,8000.00,0.17,36 months,debt_consolidation,0.02,NY,MORTGAGE,6000,670-674,5.00,5032.00,2.00,10+ years
13216,6000.00,6000.00,0.14,36 months,debt_consolidation,0.14,IL,MORTGAGE,2500,675-679,9.00,3621.00,3.00,< 1 year
4665,12000.00,11975.00,0.09,36 months,credit_card,0.19,TX,RENT,4750,750-754,13.00,25577.00,1.00,4 years
6259,5500.00,5473.88,0.15,36 months,other,0.20,SC,MORTGAGE,5116.67,665-669,11.00,14103.00,0.00,1 year
82160,9500.00,9500.00,0.12,36 months,debt_consolidation,0.24,MO,MORTGAGE,2519.17,705-709,7.00,8673.00,1.00,10+ years
18688,12000.00,12000.00,0.10,36 months,debt_consolidation,0.12,PA,MORTGAGE,10333.33,690-694,16.00,8987.00,0.00,5 years
34730,25000.00,24950.00,0.13,60 months,debt_consolidation,0.20,CO,OWN,4166.67,745-749,4.00,17849.00,0.00,3 years
98930,17500.00,17500.00,0.10,36 months,credit_card,0.24,CA,MORTGAGE,3333.33,700-704,10.00,21483.00,0.00,8 years
25786,35000.00,25850.00,0.15,60 months,major_purchase,0.23,IL,MORTGAGE,10000,760-764,13.00,13651.00,1.00,10+ years
19226,14000.00,14000.00,0.18,36 months,credit_card,0.09,DC,RENT,7916.67,680-684,3.00,13522.00,0.00,< 1 year
79198,13600.00,13600.00,0.12,36 months,credit_card,0.21,WA,MORTGAGE,5416.67,685-689,15.00,17117.00,0.00,10+ years
103315,3600.00,3575.00,0.13,36 months,educational,0.03,FL,RENT,2000,705-709,8.00,2650.00,4.00,n/a
95606,6000.00,6000.00,0.16,36 months,debt_consolidation,0.21,WI,RENT,2176.67,685-689,13.00,4356.00,1.00,2 years
76348,10000.00,10000.00,0.14,36 months,NA,0.26,WA,MORTGAGE,5416.67,700-704,6.00,18652.00,1.00,6 years
32146,20000.00,17890.70,0.20,60 months,debt_consolidation,0.17,CA,MORTGAGE,7916.67,670-674,17.00,39621.00,1.00,6 years
54455,30000.00,29975.00,0.23,60 months,debt_consolidation,0.17,FL,MORTGAGE,7083.33,665-669,21.00,56145.00,1.00,10+ years
83592,28000.00,27950.00,0.22,60 months,debt_consolidation,0.17,TX,MORTGAGE,10166.67,680-684,12.00,43182.00,1.00,4 years
87108,2000.00,2000.00,0.14,36 months,debt_consolidation,0.28,MI,MORTGAGE,3513.33,680-684,18.00,23635.00,3.00,10+ years
33208,4700.00,4700.00,0.08,36 months,renewable_energy,0.11,OR,RENT,3416.67,760-764,3.00,2297.00,0.00,10+ years
10554,6000.00,6000.00,0.14,36 months,debt_consolidation,0.08,CO,RENT,6250,675-679,6.00,3507.00,0.00,4 years
89809,9000.00,9000.00,0.12,36 months,debt_consolidation,0.10,NY,RENT,11666.67,690-694,8.00,9490.00,1.00,< 1 year
16069,20000.00,14750.00,0.07,36 months,debt_consolidation,0.15,CO,RENT,9208,735-739,10.00,20965.00,0.00,3 years
23743,4200.00,4200.00,0.13,36 months,major_purchase,0.14,NJ,MORTGAGE,6500,680-684,14.00,23653.00,1.00,10+ years
103394,6950.00,6875.00,0.13,36 months,other,0.13,TX,MORTGAGE,7916.67,715-719,5.00,1593.00,4.00,10+ years
47570,15000.00,15000.00,0.18,36 months,debt_consolidation,0.22,NV,MORTGAGE,5078.75,665-669,19.00,13205.00,0.00,10+ years
80125,12000.00,11975.00,0.12,36 months,debt_consolidation,0.11,NJ,RENT,7083.33,685-689,11.00,20601.00,0.00,4 years
30035,25000.00,25000.00,0.16,36 months,debt_consolidation,0.18,MA,RENT,6000,695-699,9.00,10630.00,2.00,7 years
80444,7000.00,7000.00,0.16,36 months,debt_consolidation,0.12,FL,MORTGAGE,3166.67,675-679,11.00,6658.00,2.00,3 years
56341,5600.00,5600.00,0.08,36 months,debt_consolidation,0.17,FL,RENT,1916.67,705-709,8.00,3373.00,0.00,5 years
1316,4800.00,544.89,0.12,36 months,credit_card,0.13,MD,MORTGAGE,7083.33,680-684,21.00,44198.00,0.00,10+ years
6020,5000.00,5000.00,0.13,36 months,debt_consolidation,0.21,FL,RENT,3108.33,705-709,8.00,0.00,0.00,2 years
8194,6525.00,6500.00,0.16,36 months,other,0.10,MD,RENT,3166.67,700-704,3.00,2494.00,1.00,1 year
34695,12700.00,12700.00,0.08,60 months,home_improvement,0.19,PA,MORTGAGE,5833.33,775-779,12.00,14787.00,0.00,10+ years
14156,14000.00,13975.00,0.14,60 months,vacation,0.10,GA,RENT,3145.83,715-719,8.00,3449.00,0.00,< 1 year
21651,10000.00,10000.00,0.11,36 months,debt_consolidation,0.20,NH,RENT,6083.33,700-704,3.00,924.00,0.00,< 1 year
53465,11500.00,11475.00,0.12,36 months,credit_card,0.24,FL,MORTGAGE,2458.33,695-699,9.00,21668.00,0.00,10+ years
38145,15000.00,15000.00,0.17,36 months,debt_consolidation,0.07,MD,RENT,7916.67,675-679,5.00,5355.00,1.00,6 years
28231,12000.00,10325.00,0.12,60 months,debt_consolidation,0.07,CA,RENT,4166.67,720-724,11.00,5934.00,0.00,4 years
23644,2700.00,2700.00,0.06,36 months,debt_consolidation,0.20,OH,MORTGAGE,3958.33,750-754,14.00,13159.00,1.00,8 years
63687,12000.00,12000.00,0.10,36 months,debt_consolidation,0.28,NY,RENT,2916.67,710-714,8.00,6913.00,0.00,3 years
36911,10625.00,10625.00,0.14,36 months,debt_consolidation,0.13,CA,MORTGAGE,4250,665-669,14.00,10767.00,0.00,< 1 year
96564,13000.00,13000.00,0.14,36 months,debt_consolidation,0.33,PA,MORTGAGE,5000,675-679,8.00,15208.00,0.00,10+ years
9533,6000.00,6000.00,0.11,36 months,credit_card,0.23,VA,MORTGAGE,5000,705-709,15.00,46125.00,1.00,2 years
24445,15000.00,15000.00,0.11,36 months,debt_consolidation,0.15,MA,RENT,5150,730-734,9.00,5116.00,2.00,2 years
25800,8000.00,7925.00,0.17,36 months,debt_consolidation,0.19,CA,RENT,2083.33,695-699,4.00,20802.00,0.00,10+ years
48662,8800.00,8800.00,0.13,36 months,credit_card,0.17,WI,RENT,3150.25,700-704,13.00,14266.00,1.00,4 years
91147,11100.00,11100.00,0.15,36 months,debt_consolidation,0.12,WA,MORTGAGE,2666.67,680-684,12.00,8990.00,0.00,10+ years
10,5000.00,525.00,0.09,36 months,home_improvement,0.12,WI,MORTGAGE,15000,715-719,16.00,60568.00,1.00,2 years
